transaction_id :=> , correlationID:=>  , status:=> '', description:=> '', initiate_date:=> '2021-02-16' 
transaction_id :=> fdffyuiuoioop, correlationID:=>  , status:=> '', description:=> '', initiate_date:=> '2021-02-16' 
transaction_id :=> fdffyuiuoioop, correlationID:=>  , status:=> '', description:=> '', initiate_date:=> '2021-02-16' 
transaction_id :=> , correlationID:=>  , status:=> '', description:=> '', initiate_date:=> '2021-02-16' 
transaction_id :=> , correlationID:=>  , status:=> '', description:=> '', initiate_date:=> '2021-02-16' 
transaction_id :=> , correlationID:=>  , status:=> '', description:=> '', initiate_date:=> '2021-02-16' 
transaction_id :=> , correlationID:=>  , status:=> '', description:=> '', initiate_date:=> '2021-02-16' 
transaction_id :=> , correlationID:=>  , status:=> '', description:=> '', initiate_date:=> '2021-02-16' 
transaction_id :=> , correlationID:=> 76347834934hdbfdh , status:=> '', description:=> '', initiate_date:=> '2021-02-16' 
transaction_id :=> , correlationID:=> 76347834934hdbfdh , status:=> '', description:=> '', initiate_date:=> '2021-02-16' 
transaction_id :=> MM210216.1045.D02408, correlationID:=> 123408989877855652413456 , status:=> 'OKs', description:=> 'The request has been processed successfully', initiate_date:=> '2021-02-16' 
transaction_id :=> MM210216.1045.D02408, correlationID:=> 23324860299815202102161036192431294 , status:=> 'OKs', description:=> 'The request has been processed successfully', initiate_date:=> '2021-02-16' 
transaction_id :=> , correlationID:=>  , status:=> '', description:=> '', initiate_date:=> '2021-02-16' 
transaction_id :=> , correlationID:=>  , status:=> '', description:=> '', initiate_date:=> '2021-02-16' 
transaction_id :=> , correlationID:=>  , status:=> '', description:=> '', initiate_date:=> '2021-02-16' 
transaction_id :=> , correlationID:=>  , status:=> '', description:=> '', initiate_date:=> '2021-02-16' 
